artist,title,palette,hash,clusters,clustering,url,filename
Ghibli,"""Castle in the Sky 01""","#212721,#597466,#ADA682",E5BF721F32974C24ACA7,3,AgglomerativeClustering,https://filmartgallery.com/products/castle-in-the-sky,183402.png
Ghibli,"""Kiki 01""","#331913,#C37250,#853929",0E916DC8CE701A74F88B,3,AgglomerativeClustering,https://filmartgallery.com/products/kikis-delivery-service-1,183401.png
Ghibli,"""Mononoke 01""","#151414,#564340,#807C7C,#B4ACA9",CC82F0D10542FF5134AF,4,AgglomerativeClustering,https://filmartgallery.com/products/princess-mononoke,183404.png
Ghibli,"""Mononoke 02""","#251D17,#574433,#70AECD,#FAD9B4,#E7A16A,#B66744",6E115257E6FBE2762B69,6,AgglomerativeClustering,https://filmartgallery.com/products/princess-mononoke-5,183407.png
Ghibli,"""Nausicaa 01""","#482F23,#8E7160,#77AEC5,#C5A994,#D1CCC6",0FF39131531F172C425F,5,AgglomerativeClustering,https://filmartgallery.com/products/nausicaa-of-the-valley-of-the-winds-3,183400.png
Ghibli,"""Nausicaa 02""","#574240,#E9B57A,#C27B45,#17769F",83DF3C98C637FC2CD51C,4,AgglomerativeClustering,https://filmartgallery.com/products/nausicaa-of-the-valley-of-the-winds-4,183403.png
Ghibli,"""Nausicaa 03""","#0A0E0F,#1C2835,#BB8673,#93483C",70994FE220B3E3233DF1,4,AgglomerativeClustering,https://filmartgallery.com/products/nausicaa-of-the-valley-of-the-winds,183405.png
Ghibli,"""The Wind Rises 01""","#CACECC,#3D741D,#2C95C9",0D53EA9229BD5F862B17,3,AgglomerativeClustering,https://filmartgallery.com/products/the-wind-rises?variant=39265259192491,183406.png
Kandinsky,"""Composition in Red and Blue""","#434869,#EBD6BB,#B96C6B",94516CD6761EFAF232C7,3,AgglomerativeClustering,https://www.nga.gov/collection/art-object-page.208417.html,183426.png
Kandinsky,"""Improvisation 31 (Sea Battle)""","#49586C,#7BA08E,#C6C6B3,#E1DCCF,#D9A06C,#A74F4F",2B73EFF1635D36F55405,6,AgglomerativeClustering,https://www.nga.gov/collection/art-object-page.56670.html,183425.png
Kandinsky,"""Landscape with Figures and a Crucifix""","#261F1B,#48433A,#665C4F,#A7896E,#DAC9AF",70DEA1BCE93371B7E7E9,5,AgglomerativeClustering, https://www.nga.gov/collection/art-object-page.90725.html,183427.png
Kandinsky,"""Small Worlds I""","#2D2723,#475644,#DCCBB4,#CEA95D,#AB6455",27B968AF541205B4FFED,5,AgglomerativeClustering,https://www.nga.gov/collection/art-object-page.52419.html,183428.png
Kirchner,"""Bern Kunsthalle: März 33: Ernst Ludwig Kirchner: Davos""","#2E484C,#F0E6D9,#B36FA0,#02AD9A",358EC6C1ECDFE97CC7D5,4,AgglomerativeClustering,https://www.nga.gov/collection/art-object-page.152789.html,bern_kunsthalle__marz_33__ernst_ludwig_kirchner__davos_2012.92.139.jpg
Kirchner,"""Chestnut Trees in Moonlight""","#5E3E34,#675855,#81796B,#A69679",D0A187CFD7608B835017,4,AgglomerativeClustering,https://www.nga.gov/content/ngaweb/collection/art-object-page.152784.html,chestnut_trees_in_moonlight_2012.92.134.png
Kirchner,"""Cover of the Fourth Yearbook of the Artist Group the Brucke""","#DCD6C8,#E16D5D",8FA77CFABCD01FB36886,2,AgglomerativeClustering, https://www.nga.gov/content/ngaweb/collection/art-object-page.8104.html,cover_of_the_fourth_yearbook_of_the_artist_group_the_brucke_1943.3.5182.jpg
